Number,District ID,District,Response Rate,Item,Old Item,Topic,Full Question,Prompt,See Column,Selected,Strongly Disagree,Disagree,Agree,Strongly Agree,The material I use is below grade-level material.,The material I use is on grade-level material.,The material I use is above grade-level material.,I am not sure.,Strongly Disagree,Disagree,Agree,Strongly Agree,Not Applicable,Never,Rarely,Sometimes,Frequently,Not at all,Less than once a week,Once a week,2-3 times a week,Almost every day,5 percent or less,6 percent to 10 percent,11 percent to 15 percent,16 percent to 25 percent,More than 25 percent,Less than 2 hours,2 to 4 hours,4 to 6 hours,6 to 10 hours,More than 10 hours,Less than 30 minutes a day,"30 minutes or more, less than 45 minutes a day","45 minutes or more, less than 48 minutes a day","48 minutes or more, less than 60 minutes a day",60 minutes or more a day,Focused more on improving my teaching than judging my performance.,Focused more on judging my performance than improving my teaching.,Equally focused on improving my teaching and judging my performance.,,,,,,,,,,,,,,,,
1,10,Anderson County,74%,TC_01a,TC_01a,School Climate,Please indicate the extent to which you agree or disagree with the following statements regarding your school.,There is an atmosphere of trust and mutual respect within this school.,L,  , 1% [-4%] , 7% [-1%] , 42% [-3%] , 50% [+9%] ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,,,,,,,,,,
2,10,Anderson County,74%,TC_01c,TC_01c,School Climate,Please indicate the extent to which you agree or disagree with the following statements regarding your school.,I am generally satisfied with being a teacher in this school.,L,  , 2% [-1%] , 3% [-7%] , 40% [+2%] , 55% [+5%] ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,,,,,,,,,,
3,10,Anderson County,74%,TC_01d,TC_01d,School Climate,Please indicate the extent to which you agree or disagree with the following statements regarding your school.,I would recommend this school to parents seeking a place for their child.,L,  , 1% [-1%] , 7% [-2%] , 39% [-2%] , 53% [+6%] ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,,,,,,,,,,
4,10,Anderson County,74%,TC_01e,TC_01e,School Climate,Please indicate the extent to which you agree or disagree with the following statements regarding your school.,Our school staff is a learning community in which ideas and suggestions for improvement are encouraged.,L,  , 1% [-3%] , 6% [-1%] , 40% [-6%] , 54% [+12%] ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,,,,,,,,,,
5,10,Anderson County,74%,TC_04b,TC_04b,School Climate,Please indicate the extent to which you agree or disagree with the following statements regarding school safety.,Students treat adults with respect at this school.,L,  , 3% [-4%] , 16% [-2%] , 56% [+7%] , 24% [-2%] ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,,,,,,,,,,
6,10,Anderson County,74%,TC_04c,TC_04c,School Climate,Please indicate the extent to which you agree or disagree with the following statements regarding school safety.,Students in my school are safe from bullying.,L,  , 0% [-3%] , 14% [-2%] , 59% [+5%] , 26% [-1%] ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,,,,,,,,,,
7,10,Anderson County,74%,TC_01b,TC_01b,Perceptions of Leadership,Please indicate the extent to which you agree or disagree with the following statements regarding your school.,Teachers are encouraged to participate in school leadership roles.,L,  , 2% [-2%] , 7% [-3%] , 48% [+2%] , 43% [+3%] ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,,,,,,,,,,
8,10,Anderson County,74%,TC_02a,TC_02a,Perceptions of Leadership,Please indicate the extent to which you agree or disagree with the following statements regarding school leadership in your school.,School leadership communicates a clear vision for this school.,L,  , 0% [-7%] , 7% [-1%] , 41% [+5%] , 52% [+3%] ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,,,,,,,,,,
9,10,Anderson County,74%,TC_02b,TC_02b,Perceptions of Leadership,Please indicate the extent to which you agree or disagree with the following statements regarding school leadership in your school.,The staff feels comfortable raising issues and concerns that are important to them with school leaders.,L,  , 2% [-7%] , 9% [-2%] , 38% [+1%] , 52% [+10%] ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,,,,,,,,,,
10,10,Anderson County,74%,TC_02c,TC_02c,Perceptions of Leadership,Please indicate the extent to which you agree or disagree with the following statements regarding school leadership in your school.,I like the way things are run at this school.,L,  , 1% [-6%] , 9% [-3%] , 45% [+2%] , 45% [+7%] ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,,,,,,,,,,
