State Postal Code,State FIPS Code,District ID,Name,Estimated Total Population,Estimated Population 5-17,Estimated number of relevant children 5 to 17 years old in poverty who are related to the householder
AL,01,00190,Alabaster City School District,"34,391","6,494",610
AL,01,00005,Albertville City School District,"22,801","4,669",946
AL,01,00030,Alexander City City School District,"16,945","2,661",709
AL,01,00060,Andalusia City School District,"8,855","1,474",380
AL,01,00090,Anniston City School District,"21,443","2,892","1,012"
AL,01,00100,Arab City School District,"8,618","1,512",241
AL,01,00120,Athens City School District,"27,289","4,163",659
AL,01,00180,Attalla City School District,"5,807",954,282
AL,01,00210,Auburn City School District,"79,317","10,766",846
AL,01,00240,Autauga County School District,"59,759","10,421","1,528"
AL,01,00270,Baldwin County School District,"221,765","35,892","4,969"
AL,01,00300,Barbour County School District,"12,088","1,375",498
AL,01,00330,Bessemer City School District,"25,682","4,230","1,506"
AL,01,00360,Bibb County School District,"22,005","3,186",805
AL,01,00390,Birmingham City School District,"197,951","26,499","9,391"
AL,01,00420,Blount County School District,"52,530","9,027","1,336"
AL,01,00012,Boaz City School District,"10,270","1,949",490
AL,01,00450,Brewton City School District,"5,263",856,212
AL,01,00480,Bullock County School District,"10,202","1,603",588
AL,01,00510,Butler County School District,"18,650","3,093","1,007"
AL,01,00540,Calhoun County School District,"54,556","9,097","1,862"
AL,01,00600,Chambers County School District,"27,255","4,085","1,074"
AL,01,00630,Cherokee County School District,"25,302","3,539",765
AL,01,00188,Chickasaw City School District,"6,404","1,130",413
AL,01,00660,Chilton County School District,"45,884","8,011","1,750"
AL,01,00690,Choctaw County School District,"12,439","1,784",546
AL,01,00720,Clarke County School District,"17,497","2,742",918
AL,01,00750,Clay County School District,"14,198","2,182",531
AL,01,00780,Cleburne County School District,"15,098","2,578",509
AL,01,00810,Coffee County School District,"21,113","3,672",684
AL,01,00840,Colbert County School District,"22,816","3,345",832
AL,01,00870,Conecuh County School District,"11,206","1,658",748
AL,01,00900,Coosa County School District,"10,166","1,218",378
AL,01,00930,Covington County School District,"21,970","3,515",841
AL,01,00960,Crenshaw County School District,"13,025","2,273",607
