year,system,system_name,school,school_name,test,subject,grade,student_group,participation_rate,enrolled,tested,valid_tests,n_below,n_approaching,n_met_expectations,n_exceeded_expectations,pct_below,pct_approaching,pct_met_expectations,pct_exceeded_expectations,pct_met_exceeded
2023,190,Davidson County,8013,LEAD Southeast,EOC,Biology I,10,All Students,100,94,94,93,20,36,32,5,21.5,38.7,34.4,5.4,39.8
2023,190,Davidson County,8013,LEAD Southeast,EOC,Biology I,10,American Indian or Alaska Native,*,1,1,1,*,*,*,*,*,*,*,*,*
2023,190,Davidson County,8013,LEAD Southeast,EOC,Biology I,10,Asian,*,9,9,9,*,*,*,*,*,*,*,*,*
2023,190,Davidson County,8013,LEAD Southeast,EOC,Biology I,10,Black or African American,100,14,14,14,2,5,6,1,14.3,35.7,42.9,7.1,50
2023,190,Davidson County,8013,LEAD Southeast,EOC,Biology I,10,Black/Hispanic/Native American,100,61,61,60,**,**,**,**,**,**,**,**,31.7
2023,190,Davidson County,8013,LEAD Southeast,EOC,Biology I,10,Economically Disadvantaged,100,30,30,30,6,10,11,3,20,33.3,36.7,10,46.7
2023,190,Davidson County,8013,LEAD Southeast,EOC,Biology I,10,English Learner Transitional 1-4,*,9,9,9,*,*,*,*,*,*,*,*,*
2023,190,Davidson County,8013,LEAD Southeast,EOC,Biology I,10,English Learners,100,20,20,19,**,**,**,**,**,**,**,**,**
2023,190,Davidson County,8013,LEAD Southeast,EOC,Biology I,10,English Learners with Transitional 1-4,100,29,29,28,**,**,**,**,**,**,**,**,14.3
2023,190,Davidson County,8013,LEAD Southeast,EOC,Biology I,10,Female,100,49,49,49,**,**,**,**,**,**,**,**,38.8
2023,190,Davidson County,8013,LEAD Southeast,EOC,Biology I,10,Foster,*,1,1,1,*,*,*,*,*,*,*,*,*
2023,190,Davidson County,8013,LEAD Southeast,EOC,Biology I,10,Hispanic,100,46,46,45,**,**,**,**,**,**,**,**,26.7
2023,190,Davidson County,8013,LEAD Southeast,EOC,Biology I,10,Homeless,*,1,1,1,*,*,*,*,*,*,*,*,*
2023,190,Davidson County,8013,LEAD Southeast,EOC,Biology I,10,Male,100,45,45,44,11,15,15,3,25,34.1,34.1,6.8,40.9
2023,190,Davidson County,8013,LEAD Southeast,EOC,Biology I,10,Non-Black/Hispanic/Native American,100,33,33,33,2,13,15,3,6,39.4,45.5,9.1,54.5
2023,190,Davidson County,8013,LEAD Southeast,EOC,Biology I,10,Non-Economically Disadvantaged,100,64,64,63,**,**,**,**,**,**,**,**,36.5
2023,190,Davidson County,8013,LEAD Southeast,EOC,Biology I,10,Non-English Learners/Transitional 1-4,100,65,65,65,10,22,28,5,15.4,33.8,43.1,7.7,50.8
2023,190,Davidson County,8013,LEAD Southeast,EOC,Biology I,10,Non-Students with Disabilities,100,84,84,83,13,33,32,5,15.6,39.8,38.6,6,44.6
2023,190,Davidson County,8013,LEAD Southeast,EOC,Biology I,10,Students with Active Duty Military Parents,*,1,1,1,*,*,*,*,*,*,*,*,*
2023,190,Davidson County,8013,LEAD Southeast,EOC,Biology I,10,Students with Disabilities,100,10,10,10,**,**,**,**,**,**,**,**,**
2023,190,Davidson County,8013,LEAD Southeast,EOC,Biology I,10,Super Subgroup,100,81,81,80,19,33,24,4,23.7,41.3,30,5,35
2023,190,Davidson County,8013,LEAD Southeast,EOC,Biology I,10,White,100,24,24,24,2,8,12,2,8.4,33.3,50,8.3,58.3
2023,190,Davidson County,8013,LEAD Southeast,EOC,Biology I,All Grades,All Students,100,94,94,93,20,36,32,5,21.5,38.7,34.4,5.4,39.8
