year,system_name,subgroup,pct_met_exceeded,student_group
2022,Anderson County,,1.3,All Students
2022,Anderson County,,47.9,All Students
2022,Anderson County,,23.1,All Students
2022,Anderson County,,25.0,All Students
2022,Anderson County,,76.3,All Students
2022,Anderson County,,17.9,All Students
2022,Anderson County,,32.6,All Students
2022,Anderson County,,32.0,All Students
2022,Anderson County,,20.0,All Students
2022,Anderson County,,54.7,All Students
2022,Anderson County,,40.6,All Students
2022,Anderson County,,30.4,All Students
2022,Anderson County,,40.4,All Students
2022,Anderson County,,34.4,All Students
2022,Anderson County,,28.0,All Students
2022,Anderson County,,30.3,All Students
2022,Anderson County,,19.5,All Students
2022,Anderson County,,57.8,All Students
2022,Anderson County,,29.8,All Students
2022,Anderson County,,31.9,All Students
2022,Anderson County,,32.1,All Students
2022,Anderson County,,36.5,All Students
2022,Anderson County,,30.0,All Students
2022,Anderson County,,36.4,All Students
2022,Anderson County,,21.8,All Students
2022,Anderson County,,4.9,All Students
2022,Anderson County,,6.7,All Students
2022,Anderson County,,86.4,All Students
2022,Anderson County,,27.6,All Students
2022,Anderson County,,28.5,All Students
2022,Anderson County,,41.0,All Students
2022,Anderson County,,37.4,All Students
2022,Anderson County,,21.1,All Students
2022,Anderson County,,29.3,All Students
2022,Anderson County,,14.2,All Students
2022,Anderson County,,55.6,All Students
2022,Anderson County,,28.2,All Students
2022,Anderson County,,30.7,All Students
2022,Anderson County,,52.7,All Students
2022,Anderson County,,34.7,All Students
2022,Anderson County,,36.2,All Students
2022,Anderson County,,35.4,All Students
2022,Anderson County,,31.9,All Students
2022,Anderson County,,52.6,All Students
2022,Anderson County,,36.6,All Students
2022,Anderson County,,43.9,All Students
2022,Anderson County,,44.0,All Students
2022,Anderson County,,39.7,All Students
2022,Anderson County,,63.6,All Students
2022,Anderson County,,42.4,All Students
2022,Clinton,,51.7,All Students
2022,Clinton,,40.8,All Students
2022,Clinton,,47.4,All Students
2022,Clinton,,63.5,All Students
2022,Clinton,,49.7,All Students
2022,Clinton,,50.0,All Students
2022,Clinton,,47.7,All Students
2022,Clinton,,41.4,All Students
2022,Clinton,,60.0,All Students
2022,Clinton,,48.8,All Students
2022,Clinton,,40.7,All Students
2022,Clinton,,68.0,All Students
2022,Clinton,,41.2,All Students
2022,Clinton,,70.6,All Students
2022,Clinton,,53.0,All Students
2022,Clinton,,69.4,All Students
2022,Clinton,,69.4,All Students
2022,Oak Ridge,,12.5,All Students
2022,Oak Ridge,,86.7,All Students
2022,Oak Ridge,,62.9,All Students
2022,Oak Ridge,,16.3,All Students
2022,Oak Ridge,,26.5,All Students
2022,Oak Ridge,,71.9,All Students
2022,Oak Ridge,,11.9,All Students
2022,Oak Ridge,,8.8,All Students
2022,Oak Ridge,,,All Students
2022,Oak Ridge,,33.4,All Students
2022,Oak Ridge,,24.0,All Students
2022,Oak Ridge,,10.5,All Students
2022,Oak Ridge,,86.1,All Students
2022,Oak Ridge,,53.0,All Students
2022,Oak Ridge,,51.5,All Students
2022,Oak Ridge,,49.5,All Students
2022,Oak Ridge,,41.6,All Students
2022,Oak Ridge,,43.0,All Students
2022,Oak Ridge,,43.4,All Students
2022,Oak Ridge,,32.8,All Students
2022,Oak Ridge,,67.6,All Students
2022,Oak Ridge,,43.5,All Students
2022,Oak Ridge,,26.5,All Students
2022,Oak Ridge,,46.4,All Students
2022,Oak Ridge,,44.6,All Students
2022,Oak Ridge,,59.4,All Students
2022,Oak Ridge,,46.7,All Students
2022,Oak Ridge,,58.6,All Students
2022,Oak Ridge,,31.7,All Students
2022,Oak Ridge,,28.1,All Students
2022,Oak Ridge,,,All Students
2022,Oak Ridge,,85.0,All Students
2022,Oak Ridge,,42.2,All Students
