school_year,district_id,district_name,total,african_american_pct,asian_pct,black_hispanic_native_american_pct,economically_disadvantaged_pct,female_pct,foster_pct,hawaiian_pacisld_pct,hispanic_pct,homeless_pct,limited_english_proficient_pct,male_pct,migrant_pct,military_pct,multirace_pct,native_american_pct,students_with_disabilities_pct,white_pct,zip code
2022-23,0,State of Tennessee,973983,24,3,38,30,49,Less than 1%,Less than 1%,14,2,8,51,Less than 1%,Less than 1%,18,Less than 1%,14,59,0
2022-23,10,Anderson County,6019,4,Less than 1%,9,31,48,1,Less than 1%,4,1,2,52,Less than 1%,Fewer than 10 students,7,Less than 1%,18,90,37769
2022-23,11,Clinton,933,6,2,11,29,50,Less than 1%,Less than 1%,5,1,1,50,Fewer than 10 students,Less than 1%,10,Less than 1%,18,86,37716
2022-23,12,Oak Ridge,4730,16,3,27,20,49,Less than 1%,Less than 1%,10,2,4,51,Fewer than 10 students,Less than 1%,18,Less than 1%,16,69,37830
2022-23,20,Bedford County,8827,12,1,42,32,49,Less than 1%,Less than 1%,30,Less than 1%,15,51,Fewer than 10 students,Less than 1%,36,Less than 1%,11,57,37160
2022-23,30,Benton County,2072,6,1,9,36,47,Less than 1%,Less than 1%,3,Less than 1%,Less than 1%,53,Fewer than 10 students,Less than 1%,6,Less than 1%,22,89,38320
2022-23,40,Bledsoe County,1565,1,Less than 1%,8,40,46,Less than 1%,Less than 1%,7,2,2,54,2,Fewer than 10 students,7,Less than 1%,26,91,37367
2022-23,50,Blount County,10040,3,Less than 1%,13,15,48,Less than 1%,Less than 1%,8,Less than 1%,3,52,Fewer than 10 students,Less than 1%,11,1,15,86,37737
2022-23,51,Alcoa,2145,21,2,36,22,45,Less than 1%,Less than 1%,14,Less than 1%,6,55,Fewer than 10 students,1,25,Less than 1%,15,62,37701
2022-23,52,Maryville,5594,5,3,14,13,48,Less than 1%,Less than 1%,8,Less than 1%,4,52,Fewer than 10 students,Less than 1%,11,Less than 1%,13,83,37803
2022-23,60,Bradley County,9970,6,1,15,25,49,Less than 1%,Less than 1%,9,Less than 1%,4,51,Less than 1%,Less than 1%,13,Less than 1%,12,84,37311
2022-23,61,Cleveland,5603,17,3,46,34,47,Less than 1%,Less than 1%,28,Less than 1%,16,53,Less than 1%,Less than 1%,36,Less than 1%,15,51,37312
2022-23,70,Campbell County,5010,2,Less than 1%,3,40,48,Less than 1%,Less than 1%,1,11,1,52,Fewer than 10 students,Fewer than 10 students,2,Less than 1%,20,96,37757
2022-23,80,Cannon County,1759,4,Less than 1%,8,32,49,Less than 1%,Less than 1%,4,6,1,51,Fewer than 10 students,Less than 1%,6,Less than 1%,14,91,37190
2022-23,92,Hollow Rock - Bruceton,625,9,Less than 1%,12,32,49,1,Less than 1%,3,4,Fewer than 10 students,51,Fewer than 10 students,Less than 1%,9,Fewer than 10 students,16,87,38317
2022-23,93,Huntingdon Special School District,1258,18,1,22,29,49,Less than 1%,Fewer than 10 students,3,3,Less than 1%,51,Fewer than 10 students,Fewer than 10 students,10,Less than 1%,14,77,38344
2022-23,94,McKenzie,1236,17,Less than 1%,23,30,48,Less than 1%,Less than 1%,6,Less than 1%,2,52,Fewer than 10 students,Fewer than 10 students,12,Less than 1%,19,76,38201
2022-23,95,South Carroll,306,8,1,10,26,45,Fewer than 10 students,Less than 1%,2,5,Less than 1%,55,Fewer than 10 students,Fewer than 10 students,7,Fewer than 10 students,11,88,38324
2022-23,97,West Carroll Sp Dist,791,9,Less than 1%,13,34,49,Less than 1%,Fewer than 10 students,4,2,Less than 1%,51,Fewer than 10 students,Fewer than 10 students,7,Less than 1%,18,86,38220
2022-23,100,Carter County,4471,3,Less than 1%,7,36,48,Less than 1%,Less than 1%,4,2,1,52,Fewer than 10 students,Fewer than 10 students,6,Less than 1%,19,93,37658
2022-23,101,Elizabethton,2633,6,2,9,24,50,1,Less than 1%,3,2,Less than 1%,50,Fewer than 10 students,Less than 1%,8,Less than 1%,18,89,37643
2022-23,110,Cheatham County,5698,5,Less than 1%,14,25,50,Less than 1%,Less than 1%,8,1,4,50,Less than 1%,Less than 1%,12,Less than 1%,17,86,37015
2022-23,120,Chester County,2748,15,Less than 1%,20,28,49,Less than 1%,Fewer than 10 students,4,Less than 1%,Less than 1%,51,Fewer than 10 students,Less than 1%,8,Less than 1%,12,79,38340
2022-23,130,Claiborne County,3911,2,Less than 1%,4,33,49,Less than 1%,Less than 1%,2,Less than 1%,Less than 1%,51,Fewer than 10 students,Less than 1%,4,Less than 1%,18,95,37879
2022-23,140,Clay County,1039,4,Less than 1%,9,42,48,Less than 1%,Less than 1%,5,4,1,52,Less than 1%,Less than 1%,8,Less than 1%,16,91,38551
