year,system,system_name,school,school_name,test,subject,grade,student_group,participation_rate,enrolled,tested,valid_tests,n_below,n_approaching,n_met_expectations,n_exceeded_expectations,pct_below,pct_approaching,pct_met_expectations,pct_exceeded_expectations,pct_met_exceeded,address
2023,190,Davidson County,20,Antioch High School,EOC,Biology I,10,All Students,97,475,461,409,**,**,**,**,**,**,**,**,7.8,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,Biology I,10,Asian,*,8,8,8,*,*,*,*,*,*,*,*,,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,Biology I,10,Black or African American,98,139,136,136,**,**,**,**,**,**,**,**,8.8,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,Biology I,10,Black/Hispanic/Native American,97,411,399,350,**,**,**,**,**,**,**,**,7.1,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,Biology I,10,Economically Disadvantaged,96,148,142,131,**,**,**,**,**,**,**,**,,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,Biology I,10,English Learner Transitional 1-4,96,25,24,24,**,**,**,**,**,**,**,**,,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,Biology I,10,English Learners,95,172,164,112,**,**,**,**,**,**,**,**,,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,Biology I,10,English Learners with Transitional 1-4,95,197,188,136,**,**,**,**,**,**,**,**,,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,Biology I,10,Female,98,227,223,200,**,**,**,**,**,**,**,**,9.5,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,Biology I,10,Foster,*,2,1,1,*,*,*,*,*,*,*,*,,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,Biology I,10,Hispanic,97,272,263,214,**,**,**,**,**,**,**,**,6.1,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,Biology I,10,Homeless,*,12,12,8,*,*,*,*,*,*,*,*,,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,Biology I,10,Male,96,248,238,209,**,**,**,**,**,**,**,**,6.2,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,Biology I,10,Migrant,*,1,1,1,*,*,*,*,*,*,*,*,,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,Biology I,10,Native Hawaiian or Other Pacific Islander,*,1,1,1,*,*,*,*,*,*,*,*,,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,Biology I,10,Non-Black/Hispanic/Native American,97,64,62,59,**,**,**,**,**,**,**,**,11.9,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,Biology I,10,Non-Economically Disadvantaged,98,327,319,278,**,**,**,**,**,**,**,**,9.4,"1900 Hobson Pike, Antioch, TN 37013"
2023,190,Davidson County,20,Antioch High School,EOC,Biology I,10,Non-English Learners/Transitional 1-4,98,278,273,273,**,**,**,**,**,**,**,**,11.4,"1900 Hobson Pike, Antioch, TN 37013"
