State Postal Code,State FIPS Code,District ID,Name,Estimated Total Population,Estimated Population 5-17,Estimated number of relevant children 5 to 17 years old in poverty who are related to the householder,Percentage of Population 5-17,Percentage of Population 5-17 in Poverty
TN,47,30,Alamo City School District,4092,400,89,9.775171065493646,22.25
TN,47,60,Alcoa City School District,11360,1861,225,16.382042253521124,12.090274046211714
TN,47,90,Anderson County School District,50514,7074,1105,14.004038484380569,15.620582414475544
TN,47,152,Arlington Community School District,28344,4562,162,16.095117132373694,3.5510740903112668
TN,47,120,Athens City Schools,14465,1491,396,10.307639128931905,26.559356136820927
TN,47,153,Bartlett City School District,56938,10544,871,18.518388422494645,8.26062215477997
TN,47,180,Bedford County School District,51950,9420,1514,18.13282001924928,16.072186836518046
TN,47,210,Bells City School District,3702,334,70,9.02215018908698,20.958083832335326
TN,47,240,Benton County School District,16002,2451,569,15.316835395575554,23.21501427988576
TN,47,270,Bledsoe County School District,14798,1573,464,10.629814839843222,29.497774952320405
TN,47,300,Blount County School District,95588,13040,1383,13.641879733857806,10.605828220858896
TN,47,1390,Bradford Special School District,3325,580,98,17.44360902255639,16.896551724137932
TN,47,330,Bradley County School District,61839,10220,1464,16.526787302511362,14.324853228962816
TN,47,360,Bristol City School District,27381,3917,804,14.305540338190717,20.525912688281846
TN,47,420,Campbell County School District,39584,5946,1398,15.021220695230397,23.511604439959637
TN,47,450,Cannon County School District,14788,2279,373,15.411144170949417,16.36682755594559
TN,47,510,Carter County School District,41844,5627,1195,13.44756715419176,21.23689354896037
TN,47,570,Cheatham County School District,41830,6525,663,15.598852498207027,10.160919540229884
TN,47,600,Chester County School District,17609,2833,545,16.0883639048214,19.237557359689376
TN,47,630,Claiborne County School District,32431,4572,1118,14.097622645000154,24.453193350831146
TN,47,3030,Clarksville-Montgomery County School System,227409,42671,5941,18.763989112128368,13.922804715146118
TN,47,660,Clay County School District,7620,1170,292,15.354330708661418,24.957264957264957
TN,47,690,Cleveland City School District,48777,7428,1392,15.228488836951842,18.73990306946688
TN,47,720,Clinton City School District,10289,808,148,7.853046943337545,18.316831683168317
TN,47,750,Cocke County School District,36879,4767,1330,12.92605547872773,27.900146842878122
TN,47,780,Coffee County School District,40276,5414,871,13.442248485450392,16.087920206871075
TN,47,149,Collierville School District,50556,10718,436,21.20025318458739,4.067923119985071
TN,47,850,Crockett County School District,13888,1729,344,12.449596774193548,19.895893580104108
TN,47,900,Cumberland County School District,63522,7993,1538,12.5830420956519,19.24183660703115
TN,47,930,Dayton City Elementary School District,7260,813,200,11.198347107438018,24.600246002460025
TN,47,990,DeKalb County School District,21003,3322,659,15.816788077893634,19.83744732089103
TN,47,960,Decatur County School District,11564,1789,345,15.470425458318921,19.28451648965903
TN,47,1020,Dickson County School District,55761,9172,1171,16.44877243951866,12.767117313563018
TN,47,1050,Dyer County School District,20441,3571,601,17.469791106110268,16.830019602352284
TN,47,1080,Dyersburg City School District,15969,2792,829,17.483875007827663,29.691977077363894
TN,47,1110,Elizabethton City School District,14566,1915,478,13.147054785116024,24.96083550913838
TN,47,1140,Etowah City School District,3701,413,106,11.159146176708997,25.66585956416465
TN,47,1170,Fayette County School District,43630,5634,844,12.913133165253265,14.980475683351083
TN,47,1200,Fayetteville City School District,7205,1145,298,15.891741845940318,26.02620087336244
TN,47,1230,Fentress County School District,19332,2920,859,15.10448996482516,29.41780821917808
TN,47,78,Fort Campbell Schools,7792,1629,88,20.906057494866527,5.402087170042972
TN,47,1290,Franklin County School District,42415,6078,970,14.329836142873983,15.959197104310629
TN,47,1260,Franklin Special School District,42993,4146,278,9.643430325867001,6.705258080077183
TN,47,151,Germantown Municipal School District,40727,8122,280,19.94254425810887,3.4474267421817286
TN,47,1400,Gibson County School District,19900,4037,416,20.28643216080402,10.30468169432747
TN,47,1410,Giles County School District,30554,4787,966,15.66734306473784,20.17965322749112
TN,47,1440,Grainger County School District,24277,3456,767,14.235696338097789,22.193287037037038
TN,47,1470,Greene County School District,55588,7627,1528,13.72058717708858,20.034089419168744
TN,47,1500,Greeneville City School District,15817,2441,549,15.432762217866852,22.490782466202376
TN,47,1530,Grundy County School District,13783,2113,555,15.330479576289632,26.26597255087553
TN,47,1,Hamblen County School District,65168,11214,1815,17.20783206481709,16.185125735687535
TN,47,1590,Hamilton County School District,374682,55959,8848,14.935064935064934,15.811576332672134
TN,47,1620,Hancock County School District,6845,1097,380,16.026296566837107,34.63992707383774
TN,47,1650,Hardeman County School District,25529,3692,943,14.461984409886796,25.54171180931744
TN,47,1680,Hardin County School District,27077,4127,1092,15.241718063300958,26.45989823116065
TN,47,1740,Hawkins County School District,55262,7527,1544,13.620571097680143,20.51282051282051
